	title	artist	album	albumArtist	likeStatus	averageRating	albumYear	albumType	duration_seconds
J7_bMdYfSws	California Love (feat. Roger Troutman & Dr. Dre)	2Pac	Greatest Hits	2Pac	INDIFFERENT		1998.0	Album	
7Hmf4aLvAYw	To Live & Die In L.A.	2Pac	Greatest Hits	2Pac	INDIFFERENT	4.6102786	1998.0	Album	
nZpRmK2-riQ	Never Had A Friend Like Me	2Pac	Gridlock'd (The Soundtrack)	Various Artists	INDIFFERENT		1997.0	Album	267.0
IePG3Ky0waQ	Never Had A Friend Like Me	2Pac	Nu-mixx Klazzics	2Pac	INDIFFERENT	4.4372625			
oCLsRpyEa1c	Changes (feat. Talent)	2Pac	The Best of 2Pac, Pt. 1: Thug	2Pac	INDIFFERENT	4.7717228	2007.0	Album	
ASFkJGk-qHQ	Keep Ya Head Up	2Pac	The Hate U Give (Original Motion Picture Soundtrack)	Various Artists	INDIFFERENT		2018.0	Album	265.0
8Mpe4hdOhSU	I'll Be Here Awhile	311	From Chaos	311	INDIFFERENT		2001.0	Album	
aqBKjRzmiRs	Amber	311	From Chaos	311	INDIFFERENT		2001.0	Album	
gxCTEFtt-J8	Down	311	Greatest Hits '93 - '03	311	INDIFFERENT	4.5728154	2004.0	Album	
4gz9EszLPqE	In Da Club	50 Cent	2000's Kids	Various Artists	INDIFFERENT		2019.0	Album	
40nXbM5mD5I	Lifes On The Line	50 Cent	Get Rich Or Die Tryin'	50 Cent	DISLIKE	4.4617562	2003.0	Album	
nu1jjIyJDwo	High All The Time	50 Cent	Get Rich Or Die Tryin'	50 Cent	INDIFFERENT	4.4920635	2003.0	Album	
HodShgHmQ0I	High All The Time	50 Cent	Get Rich Or Die Tryin'	50 Cent	INDIFFERENT		2003.0	Album	269.0
_0uGDGcIohU	What Up Gangsta	50 Cent	Get Rich Or Die Tryin'	50 Cent	INDIFFERENT		2003.0	Album	179.0
94UmYrW5oto	What Up Gangsta	50 Cent	Get Rich or Die Tryin'	50 Cent	INDIFFERENT	4.5712438	2003.0	Album	
cHqyAUhhmiU	Pacific 202	808 State	Ninety	808 State	INDIFFERENT		1989.0	Album	337.0
te91Jpxhprc	Fuck Niggas	8Ball	Doin' it Big	8Ball	INDIFFERENT		2015.0	Album	282.0
V6nGVdcOrKQ	Award Tour	A Tribe Called Quest	Hits, Rarities & Remixes	A Tribe Called Quest	INDIFFERENT	4.3684435	2003.0	Album	
ys3yFflGl-I	Sucka Nigga	A Tribe Called Quest	The Anthology	A Tribe Called Quest	INDIFFERENT	4.8831553	1999.0	Album	
8b26AoBt0o4	Fashion Killa	A$AP Rocky	Long.Live.A$AP	A$AP Rocky	INDIFFERENT				
9Wt4hKic-7c	Goldie	A$AP Rocky	Long.Live.A$AP	A$AP Rocky	INDIFFERENT				
QwpqN9v_9uM	The Look Of Love (Pt. 1)	ABC	The Lexicon Of Love (Deluxe Edition)	ABC	INDIFFERENT		1982.0	Album	
jJfWd4XjyZo	For One Night	AL PATRON	Flight Delayed	AL PATRON	INDIFFERENT				
qThZOzbFZiI	Going	Ackryte	HW&W Vol. 1	Various Artists	INDIFFERENT	4.4929576	2012.0	Album	
U3g82fWzriI	Going	Ackryte	HW&W Vol. 1	Various Artists	INDIFFERENT		2012.0	Album	135.0
A8XrENzFoaE	AEIOU's	Ackryte	Lifted Transmissions	Ackryte	INDIFFERENT		2013.0	Single	136.0
y-wBp8gkf-g	UpperReaches	Ackryte	Lifted Transmissions	Ackryte	INDIFFERENT		2013.0	Single	161.0
PpZWUJCp8D4	Hanging On	Active Child	You Are All I See	Active Child	INDIFFERENT		2011.0	Album	
hAA28A-2Gro	Hanging On	Active Child	You Are All I See						321.0
zH56GBXOHpg	Dream On	Aerosmith	50 Classic Rock Favorites	Various Artists	INDIFFERENT		2014.0	Album	
YZSGRv02THg	"I Don't Want to Miss a Thing (From ""Armageddon"" Soundtrack)"	Aerosmith	Armageddon - The Album	Armageddon - The Album	INDIFFERENT		1998.0	Album	299.0
5osAEHKSoZs	Dream On	Aerosmith	Flash Back Internacional						267.0
GRf3lIKXB5s	Reefer Head Woman	Aerosmith	Night In The Ruts	Aerosmith	INDIFFERENT		1979.0	Album	243.0
zAnWSrmEGL0	Dream On	Aerosmith	Rock & Metal	Various Artists	INDIFFERENT		2023.0	Album	265.0
gkWCLjxQqjU	Walk This Way	Aerosmith	Toys In The Attic	Aerosmith	INDIFFERENT		1975.0	Album	221.0
15aa3WIHk5M	Sweet Emotion	Aerosmith	Toys In The Attic	Aerosmith	INDIFFERENT		1975.0	Album	275.0
Pl7HEtCWf6I	Coffee	Aesop Rock	None Shall Pass	Aesop Rock	INDIFFERENT		2007.0	Album	575.0
KIyNEohFqzc	Citronella	Aesop Rock	None Shall Pass (Bonus Edition)	Aesop Rock	INDIFFERENT		2007.0	Album	
3yL2ZyEt5is	Jumping Coffin	Aesop Rock	Spirit World Field Guide	Aesop Rock	INDIFFERENT		2020.0	Album	210.0
sjEn85VJP2Q	Planet Rock	Afrika Bambaataa	Electronic	24 Hour Experience	INDIFFERENT				
vaHZ-fUv1UQ	Pints of Guinness Make You Strong	Against Me!	Reinventing Axl Rose	Against Me!	INDIFFERENT		2002.0	Album	
sKTzjYmkn7E	Ain't Got Time to Waste (feat. YZ)	Aim	Cold Water Music	Aim	INDIFFERENT	4.1121078	1999.0	Album	
da8dncS-XnU	Tired Of Being Alone	Al Green	Dead Presidents Vol. 1/Music From The Motion Picture	Various Artists	INDIFFERENT	4.779489	1995.0	Album	
AvSwwPwu00c	Blue Monday Hangover	Albert Collins	Deluxe Edition	Albert Collins	INDIFFERENT		1997.0	Album	335.0
SRD5EwY8muQ	Blue Monday Hangover	Albert Collins	Frostbite						
PQYB2Asaff4	Blue Monday Hangover	Albert Collins	Frostbite	Albert Collins	INDIFFERENT		1980.0	Album	335.0
7KUKQwm9hhM	Won't Be Hangin' Around	Albert King	Albert King & Otis Rush: Door to Door						
ntaa7Vbpg-s	Bad Luck Blues	Albert King	Door To Door	Albert King	INDIFFERENT		1969.0	Album	180.0
gM8FeKiWVnU	Don't Lie To Me	Albert King	In Session	Albert King	INDIFFERENT		2009.0	Album	537.0
